year,    det/mc,                expt,              stream,                tier,files,events,size,TB,size/event,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,               noise,  full-reconstructed,"1,810.00","265,003.00",15.72,TB,59.334,MB,,,,,,,,,,
ALL,  detector,                 ALL,               noise,   hit-reconstructed,"10,474.00","1,495,686.00",14.91,TB,9.971,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,               noise,   hit-reconstructed,"10,474.00","1,495,686.00",14.91,TB,9.971,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,                 ALL,          root-tuple,"640,729.00","23,711,023.00",14.45,TB,0.609,MB,,,,,,,,,,
ALL,        mc,              fardet,                 ALL,                 ALL,"202,062.00","39,760,255.00",14.25,TB,0.358,MB,,,,,,,,,,
ALL,        mc,              fardet,                 ALL,           simulated,"202,062.00","39,760,255.00",14.25,TB,0.358,MB,,,,,,,,,,
ALL,        mc,              fardet,                out1,                 ALL,"202,062.00","39,760,255.00",14.25,TB,0.358,MB,,,,,,,,,,
ALL,        mc,              fardet,                out1,           simulated,"202,062.00","39,760,255.00",14.25,TB,0.358,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,                out1,          root-tuple,"640,690.00","19,344,960.00",14.18,TB,0.733,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                 ALL,        pandora_info,"332,786.00","22,727,841.00",10.89,TB,0.479,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                out1,        pandora_info,"332,786.00","22,727,841.00",10.89,TB,0.479,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                 ALL,          root-tuple,"4,865.00","22,781,535.00",8.94,TB,0.393,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                out1,          root-tuple,"4,865.00","22,781,535.00",8.94,TB,0.393,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,                 ALL,   hit-reconstructed,"12,664.00","378,099.00",8.60,TB,22.735,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,             cosmics,   hit-reconstructed,"12,664.00","378,099.00",8.60,TB,22.735,MB,,,,,,,,,,
ALL,  detector,                 ALL,               study,  full-reconstructed,"5,460.00","598,960.00",7.21,TB,12.042,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,               study,  full-reconstructed,"5,460.00","598,960.00",7.21,TB,12.042,MB,,,,,,,,,,
ALL,  detector,                 ALL,                 ALL,          root-tuple,"271,810.00","43,677,015.00",6.94,TB,0.159,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                 ALL,          root-tuple,"271,810.00","43,677,015.00",6.94,TB,0.159,MB,,,,,,,,,,
ALL,  detector,                 ALL,             physics,          root-tuple,"131,954.00","36,716,602.00",6.11,TB,0.166,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             physics,          root-tuple,"131,954.00","36,716,602.00",6.11,TB,0.166,MB,,,,,,,,,,
ALL,  detector,                 ALL,         calibration,  full-reconstructed,"3,772.00","3,628,143.00",5.95,TB,1.641,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,         calibration,  full-reconstructed,"3,772.00","3,628,143.00",5.95,TB,1.641,MB,,,,,,,,,,
ALL,  detector,                 ALL,         calibration,   hit-reconstructed,"2,386.00","1,490,149.00",4.04,TB,2.713,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,         calibration,   hit-reconstructed,"2,386.00","1,490,149.00",4.04,TB,2.713,MB,,,,,,,,,,
ALL,  detector,                 ALL,            pedestal,                 ALL,"1,130.00","19,827.00",3.56,TB,179.552,MB,,,,,,,,,,
ALL,  detector,                 ALL,            pedestal,                 raw,"1,130.00","19,827.00",3.56,TB,179.552,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,            pedestal,                 ALL,"1,086.00","16,221.00",3.46,TB,213.064,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,            pedestal,                 raw,"1,086.00","16,221.00",3.46,TB,213.064,MB,,,,,,,,,,
ALL,  detector,             iceberg,                 ALL,                 ALL,"7,330.00","964,719.00",3.34,TB,3.461,MB,,,,,,,,,,
ALL,  detector,             iceberg,                 ALL,                 raw,"7,330.00","964,719.00",3.34,TB,3.461,MB,,,,,,,,,,
ALL,  detector,             iceberg,             cosmics,                 ALL,"7,330.00","964,719.00",3.34,TB,3.461,MB,,,,,,,,,,
ALL,  detector,             iceberg,             cosmics,                 raw,"7,330.00","964,719.00",3.34,TB,3.461,MB,,,,,,,,,,
ALL,  detector,                 ALL,         calibration,         decoded-raw,"2,388.00","1,490,233.00",3.33,TB,2.232,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,         calibration,         decoded-raw,"2,388.00","1,490,233.00",3.33,TB,2.232,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                 ALL,          root-tuple,"4,414.00","25,582,425.00",2.35,TB,0.092,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                out1,          root-tuple,"4,414.00","25,582,425.00",2.35,TB,0.092,MB,,,,,,,,,,
ALL,  detector,                 ALL,                out2,                 ALL,"2,427.00","218,373.00",2.33,TB,10.647,MB,,,,,,,,,,
ALL,  detector,                 ALL,                out2,   hit-reconstructed,"2,427.00","218,373.00",2.33,TB,10.647,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                out2,                 ALL,"2,427.00","218,373.00",2.33,TB,10.647,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                out2,   hit-reconstructed,"2,427.00","218,373.00",2.33,TB,10.647,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,                 ALL,  full-reconstructed,"4,395.00","131,497.00",2.16,TB,16.436,MB,,,,,,,,,,
ALL,  detector,        protodune-dp,             cosmics,  full-reconstructed,"4,395.00","131,497.00",2.16,TB,16.436,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,             physics,                 ALL,"221,351.00","13,260,465.00",0.86,TB,0.065,MB,,,,,,,,,,
ALL,  detector,                 ALL,             cosmics,          root-tuple,"139,856.00","6,960,413.00",0.83,TB,0.119,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             cosmics,          root-tuple,"139,856.00","6,960,413.00",0.83,TB,0.119,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                 ALL,          root-tuple,"50,116.00","7,078,120.00",0.59,TB,0.084,MB,,,,,,,,,,
ALL,        mc,           fardet-vd,                out1,          root-tuple,"50,116.00","7,078,120.00",0.59,TB,0.084,MB,,,,,,,,,,
ALL,        mc,                 ALL,             physics,          root-tuple,39.00,"4,366,063.00",0.27,TB,0.061,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,             physics,          root-tuple,39.00,"4,366,063.00",0.27,TB,0.061,MB,,,,,,,,,,
ALL,  detector,                 ALL,                test,        pandora_info,220.00,"30,393.00",0.20,TB,6.635,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                test,        pandora_info,220.00,"30,393.00",0.20,TB,6.635,MB,,,,,,,,,,
ALL,  detector,                 ALL,         calibration,        pandora_info,388.00,"25,699.00",0.17,TB,6.678,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,         calibration,        pandora_info,388.00,"25,699.00",0.17,TB,6.678,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,            pedestal,                 ALL,44.00,"3,606.00",0.10,TB,28.8,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,            pedestal,                 raw,44.00,"3,606.00",0.10,TB,28.8,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                 ALL,        pandora_info,249.00,"99,600.00",0.02,TB,0.166,MB,,,,,,,,,,
ALL,        mc,           fardet-sp,                out1,        pandora_info,249.00,"99,600.00",0.02,TB,0.166,MB,,,,,,,,,,
