Detectors,DataTypes,Resources,Locations,Units,2022,2023,2024,2025,2026,2027,2028,2029,2030,Explanation
SP,Analysis-Sim,CPU Cores,Total,Cores,611.546,611.546,611.546,0.000,0.000,0.000,0.000,0.000,0.000,Add 0.70 efficiency Change units from MHr to Cores using factor of 163.08
PDHD,Reco-Sim,CPU Wall,Total,MHr,5.357,5.357,5.357,5.357,5.357,5.357,0.000,0.000,0.000,Add 0.70 efficiency Change units from MHr to MHr using factor of 1.43
PDHD,Reco-Sim,CPU kHS23-Yr,Total,kHS23-Yr,6.727,6.727,6.727,6.727,6.727,6.727,0.000,0.000,0.000,Add 0.70 efficiency Change units from MHr to kHS23-Yr using factor of 1.79
PDHD,Reco-Sim,CPU Cores,Total,Cores,611.546,611.546,611.546,611.546,611.546,611.546,0.000,0.000,0.000,Add 0.70 efficiency Change units from MHr to Cores using factor of 163.08
PDHD,Reco-Sim,GPU Wall,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Add 0.70 efficiency Change units from MHr to MHr using factor of 1.43
PDHD,Reco-Sim,GPU kHS23-Yr,Total,kHS23-Yr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Add 0.70 efficiency Change units from MHr to kHS23-Yr using factor of 1.79
PDHD,Reco-Sim,GPU Cores,Total,Cores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Add 0.70 efficiency Change units from MHr to Cores using factor of 163.08
PDHD,Reco-Data,CPU Wall,Total,MHr,0.000,0.000,4.763,5.954,7.144,2.381,1.191,0.000,0.000,Add 0.70 efficiency Change units from MHr to MHr using factor of 1.43
PDHD,Reco-Data,CPU kHS23-Yr,Total,kHS23-Yr,0.000,0.000,5.981,7.476,8.971,2.990,1.495,0.000,0.000,Add 0.70 efficiency Change units from MHr to kHS23-Yr using factor of 1.79
PDHD,Reco-Data,CPU Cores,Total,Cores,0.000,0.000,543.705,679.631,815.558,271.853,135.926,0.000,0.000,Add 0.70 efficiency Change units from MHr to Cores using factor of 163.08
PDHD,Reco-Data,GPU Wall,Total,MHr,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Add 0.70 efficiency Change units from MHr to MHr using factor of 1.43
