"MachineAttrGLIDEIN_DUNESite0: Descending","@timestamp per month",filters,"Sum of SlotHours"
"UK_RAL-PPD",1659330000000,Production,"131531.02843055557"
"UK_RAL-PPD",1659330000000,MARS,0
"UK_RAL-PPD",1659330000000,Total,"177731.34421263888"
"UK_RAL-PPD",1662008400000,Analysis,"17735.283796666667"
"UK_RAL-PPD",1662008400000,Production,"26780.795692777778"
"UK_RAL-PPD",1662008400000,MARS,0
"UK_RAL-PPD",1662008400000,Total,"44516.07948944445"
"UK_RAL-PPD",1664600400000,Analysis,"9514.277757777778"
"UK_RAL-PPD",1664600400000,Production,"16936.197266666666"
"UK_RAL-PPD",1664600400000,MARS,0
"UK_RAL-PPD",1664600400000,Total,"26450.475024444444"
"UK_RAL-PPD",1667278800000,Analysis,"19673.572111944442"
"UK_RAL-PPD",1667278800000,Production,"13650.157268333334"
"UK_RAL-PPD",1667278800000,MARS,0
"UK_RAL-PPD",1667278800000,Total,"33323.72938027778"
"UK_RAL-PPD",1669874400000,Analysis,"31066.22741111111"
"UK_RAL-PPD",1669874400000,Production,"81543.56043111111"
"UK_RAL-PPD",1669874400000,MARS,0
"UK_RAL-PPD",1669874400000,Total,"112609.78784222223"
"UK_RAL-PPD",1672552800000,Analysis,"116707.09750333334"
"UK_RAL-PPD",1672552800000,Production,"25653.44375"
"UK_RAL-PPD",1672552800000,MARS,0
"UK_RAL-PPD",1672552800000,Total,"142360.54125333333"
"UK_RAL-PPD",1675231200000,Analysis,"65509.861464444446"
"UK_RAL-PPD",1675231200000,Production,"550.1565833333334"
"UK_RAL-PPD",1675231200000,MARS,0
"UK_RAL-PPD",1675231200000,Total,"66060.01804777778"
"UK_RAL-PPD",1677650400000,Analysis,"80504.81267597222"
"UK_RAL-PPD",1677650400000,Production,"102.80409722222223"
"UK_RAL-PPD",1677650400000,MARS,0
"UK_RAL-PPD",1677650400000,Total,"80607.61677319444"
"UK_RAL-PPD",1680325200000,Analysis,"204720.21233569444"
"UK_RAL-PPD",1680325200000,Production,"1437.3159722222222"
"UK_RAL-PPD",1680325200000,MARS,0
"UK_RAL-PPD",1680325200000,Total,"206157.52830791665"
"UK_RAL-PPD",1682917200000,Analysis,"38840.78904486111"
"UK_RAL-PPD",1682917200000,Production,"126.52784722222222"
"UK_RAL-PPD",1682917200000,MARS,0
"UK_RAL-PPD",1682917200000,Total,"38967.316892083334"
"UK_RAL-PPD",1685595600000,Analysis,"6297.753967083333"
"UK_RAL-PPD",1685595600000,Production,"1548.049861111111"
"UK_RAL-PPD",1685595600000,MARS,0
"UK_RAL-PPD",1685595600000,Total,"7845.803828194445"
"UK_RAL-PPD",1688187600000,Analysis,"86754.12328194444"
"UK_RAL-PPD",1688187600000,Production,"63769.71020833333"
"UK_RAL-PPD",1688187600000,MARS,0
"UK_RAL-PPD",1688187600000,Total,"150523.83349027776"
"UK_RAL-PPD",1690866000000,Analysis,"30519.749053472224"
"UK_RAL-PPD",1690866000000,Production,"351680.5502777778"
"UK_RAL-PPD",1690866000000,MARS,0
"UK_RAL-PPD",1690866000000,Total,"382200.29933125"
"UK_RAL-PPD",1693544400000,Analysis,"40805.2469075"
"UK_RAL-PPD",1693544400000,Production,"34.697916666666664"
"UK_RAL-PPD",1693544400000,MARS,0
"UK_RAL-PPD",1693544400000,Total,"40839.94482416667"
"UK_RAL-PPD",1696136400000,Analysis,"78149.84446277778"
"UK_RAL-PPD",1696136400000,Production,"10877.571597222222"
"UK_RAL-PPD",1696136400000,MARS,0
"UK_RAL-PPD",1696136400000,Total,"89027.41606"
"UK_RAL-PPD",1698814800000,Analysis,"34104.45893763889"
"UK_RAL-PPD",1698814800000,Production,"2206.122152777778"
"UK_RAL-PPD",1698814800000,MARS,0
"UK_RAL-PPD",1698814800000,Total,"36310.581090416665"
undefined,1641016800000,Analysis,"12655.078176944444"
undefined,1641016800000,Production,"162502.78533333333"
undefined,1641016800000,MARS,0
undefined,1641016800000,Total,"175157.86351027776"
undefined,1643695200000,Analysis,"23207.106805555555"
undefined,1643695200000,Production,"181269.17341666666"
undefined,1643695200000,MARS,0
undefined,1643695200000,Total,"204476.2802222222"
undefined,1646114400000,Analysis,"64845.93841166667"
undefined,1646114400000,Production,"323519.4552222222"
undefined,1646114400000,MARS,0
undefined,1646114400000,Total,"388365.39363388886"
undefined,1648789200000,Analysis,"25113.321781805556"
undefined,1648789200000,Production,"1017070.3591666666"
undefined,1648789200000,MARS,0
undefined,1648789200000,Total,"1042183.6809484722"
undefined,1651381200000,Analysis,"13999.727620972222"
undefined,1651381200000,Production,"25330.071180555555"
undefined,1651381200000,MARS,0
undefined,1651381200000,Total,"39329.79880152778"
undefined,1654059600000,Analysis,"27289.13124375"
undefined,1654059600000,Production,"4905.859722222222"
undefined,1654059600000,MARS,0
undefined,1654059600000,Total,"32194.99096597222"
undefined,1656651600000,Analysis,"34601.741943333334"
undefined,1656651600000,Production,"3476.546125"
undefined,1656651600000,MARS,0
undefined,1656651600000,Total,"38078.288068333335"
undefined,1659330000000,Analysis,"17406.64862972222"
undefined,1659330000000,Production,"70044.59166666666"
